               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.016929,           0.0047934,                   0,                   1,             0.99983,               0.995,              0.7164,            0.020217,           0.0047376,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.016996,           0.0049502,                   0,             0.99977,                   1,               0.995,             0.72255,            0.020385,           0.0047332,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.016719,           0.0046942,                   0,             0.99968,                   1,               0.995,             0.71469,            0.020379,           0.0046705,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.016767,           0.0048082,                   0,             0.99975,                   1,               0.995,             0.71382,             0.02032,           0.0047343,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.01693,           0.0048728,                   0,             0.99972,                   1,               0.995,              0.7202,            0.020115,           0.0046585,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.017007,           0.0047746,                   0,             0.99985,                   1,               0.995,             0.72005,            0.019766,           0.0047439,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.016686,           0.0047882,                   0,                   1,             0.99975,               0.995,              0.7178,             0.02013,           0.0047682,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.016669,           0.0047874,                   0,             0.99894,             0.99667,               0.995,             0.71978,            0.019764,           0.0047405,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.016465,           0.0047455,                   0,              0.9965,                   1,             0.99497,             0.71671,            0.019982,           0.0047104,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.016344,           0.0046729,                   0,             0.99973,                   1,               0.995,             0.71188,            0.020529,           0.0047639,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.016779,           0.0046801,                   0,                   1,             0.99973,               0.995,             0.71439,            0.019752,           0.0046308,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.016374,           0.0045513,                   0,             0.99986,                   1,               0.995,             0.71727,            0.019377,           0.0046104,                   0,             0.00736,             0.00736,             0.00736
                  82,             0.01659,           0.0046542,                   0,             0.99968,                   1,               0.995,             0.71832,            0.019993,           0.0047397,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.016455,            0.004673,                   0,             0.99966,                   1,               0.995,             0.72224,            0.019813,           0.0046711,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.016217,           0.0045441,                   0,             0.99986,                   1,               0.995,             0.72184,             0.01958,           0.0046158,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.016224,           0.0046576,                   0,              0.9998,                   1,               0.995,              0.7146,             0.01985,           0.0047011,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.016123,           0.0045044,                   0,                   1,             0.99964,               0.995,             0.71988,            0.020332,           0.0049034,                   0,            0.007195,            0.007195,            0.007195
